都道府県,路線名,物件タイプ,部屋種別,駅,相場
tokyo,ＪＲ山手線,マンション,ワンルーム,東京,9.2万円
tokyo,ＪＲ京浜東北線,マンション,ワンルーム,東京,9.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,有楽町,11.5万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新橋,11.3万円
tokyo,ＪＲ山手線,マンション,ワンルーム,浜松町,10.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,田町,10.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,高輪ゲートウェイ,9.3万円
tokyo,ＪＲ山手線,マンション,ワンルーム,品川,9.1万円
tokyo,ＪＲ山手線,マンション,ワンルーム,大崎,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,五反田,8.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,目黒,9.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,恵比寿,11.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,渋谷,10.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,原宿,11.4万円
tokyo,ＪＲ山手線,マンション,ワンルーム,代々木,10.1万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新宿,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新大久保,7.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,高田馬場,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,目白,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,池袋,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,大塚,7.4万円
tokyo,ＪＲ山手線,マンション,ワンルーム,巣鴨,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,駒込,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,田端,7.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,西日暮里,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,日暮里,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,鶯谷,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,上野,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,御徒町,8.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,秋葉原,9.5万円
tokyo,ＪＲ山手線,マンション,ワンルーム,神田,10.0万円
